OrderId,OrderType,Начали принимать заказ,Закончили принимать заказ,Повезли клиенту / выдали в руки,ProductId,CategoryId,IsBaked,ProductPrice,ClientId
642591840,Restaurant,10:57:28,10:57:55,11:10:09,10089,2,0,99,
642544012,Restaurant,9:49:08,9:49:24,9:55:37,42633,7,1,49,
642538752,Delivery,9:37:44,9:37:44,9:57:29,18,0,0,432,1980008
642541564,Restaurant,9:43:21,9:44:23,9:58:36,2016,2,0,75,13481466
642620880,Delivery,11:25:20,11:25:20,11:47:50,81,1,1,579,25936257
642650336,Delivery,11:50:54,11:50:54,17:51:19,12501,1,1,425,164456
643402972,Restaurant,19:22:45,19:22:45,20:28:52,53463,5,0,0,33138906
643295040,Delivery,18:42:27,18:42:27,19:53:48,12501,1,1,425,4201308
642511644,Delivery,8:19:19,8:19:19,10:06:23,24,0,0,375,42530060
642688588,Restaurant,12:20:16,12:20:16,13:19:42,26658,2,0,69,11552287
643214804,Restaurant,17:53:16,17:53:19,17:54:07,18066,6,0,19,
642978140,Restaurant,15:21:31,15:22:02,15:22:45,34446,6,0,99,
643474744,Delivery,20:12:10,20:12:10,20:31:53,123,1,1,375,942405
642677264,Delivery,12:11:47,12:11:47,12:47:28,54,1,1,639,18399467
643539196,Restaurant,21:02:34,21:02:55,21:14:26,441,3,1,159,
642780088,Delivery,13:20:21,13:20:21,18:32:47,4035,1,1,699,44360369
642553332,Restaurant,10:03:52,10:05:26,10:17:37,12495,1,1,405,
642690328,Delivery,12:21:30,12:21:30,14:57:45,126,1,1,579,33384615
642601856,Delivery,11:07:34,11:07:34,13:24:34,129,1,1,699,33634189
642588468,Restaurant,10:53:53,10:53:53,13:25:03,4026,0,0,278,11552287
642555956,Restaurant,10:09:20,10:09:20,10:23:13,8565,2,0,135,2365307
643533196,Delivery,20:57:38,20:57:38,21:19:12,21999,3,1,269,463729
642563596,Restaurant,10:20:40,10:20:58,10:26:30,78,1,1,375,
642508892,Restaurant,8:07:50,8:07:50,8:09:27,8565,2,0,135,27444404
642509684,Restaurant,8:10:54,8:11:23,8:11:50,2025,0,0,95,
643249744,Delivery,18:14:27,18:14:27,19:30:44,141,0,0,245,44382139
642509564,Delivery,8:10:51,8:10:51,8:20:37,441,0,0,124,44353916
643541620,Delivery,21:05:01,21:05:01,21:23:51,36489,5,0,10,22527580
642547756,Delivery,9:56:34,9:56:34,10:34:03,50361,1,1,449,29132450
642494272,Delivery,6:47:03,6:47:03,18:05:22,129,0,0,699,31799916
643343084,Restaurant,19:06:51,19:07:59,20:07:19,45981,3,1,125,
642566368,Restaurant,10:24:08,10:25:02,10:38:29,47694,3,0,199,
643074516,Restaurant,16:25:03,16:25:11,16:25:33,10089,2,0,99,
642510456,Delivery,8:14:33,8:14:33,10:41:27,84,0,0,699,25467651
643502316,Restaurant,20:30:38,20:32:18,20:46:21,9084,3,1,159,
643265764,Delivery,18:23:58,18:23:58,19:36:07,96,0,0,375,13596249
642521472,Restaurant,8:54:45,8:55:07,8:56:38,2025,0,0,95,
642654948,Delivery,11:54:38,11:54:38,12:12:12,6,1,1,639,8653095
643271312,Delivery,18:27:36,18:27:36,19:37:41,441,0,0,159,28427666
642525168,Restaurant,9:04:25,9:04:46,9:05:09,2016,0,0,75,
643642296,Delivery,23:55:54,23:55:54,0:07:14,36489,5,0,10,344618
642526912,Restaurant,9:08:25,9:09:00,9:11:00,45912,6,0,89,
642547936,Delivery,9:56:53,9:56:53,10:52:15,23808,1,1,790,2965331
642630212,Restaurant,11:32:58,11:33:36,12:16:07,129,0,0,699,
642892108,Delivery,14:28:08,14:28:08,14:39:34,45981,3,1,124,8915523
642483792,Delivery,4:54:40,4:54:40,17:39:56,252,1,1,343,10925942
642531528,Restaurant,9:20:10,9:20:43,9:21:03,44817,6,0,159,
643600564,Restaurant,22:12:17,22:12:18,22:13:39,18066,6,0,19,
642574480,Delivery,10:36:18,10:36:18,10:58:21,18,1,1,639,40435581
643231568,Delivery,18:03:38,18:03:38,20:18:08,141,0,0,294,20998053
642509580,Delivery,8:10:53,8:10:53,11:36:38,36099,1,1,295,44342764
643194408,Delivery,17:41:12,17:41:12,18:19:24,50922,1,1,439,2137611
642593988,Restaurant,11:00:13,11:00:19,11:02:42,18066,6,0,19,
642630832,Restaurant,11:33:53,11:34:08,11:39:11,51948,6,0,129,
642537536,Restaurant,9:34:41,9:35:07,9:39:31,18066,6,0,19,
642663120,Delivery,12:01:02,12:01:02,12:24:12,441,0,0,159,579528
642705400,Delivery,12:32:08,12:32:08,13:12:43,126,1,1,422,12000928
642585828,Restaurant,10:50:25,10:50:47,11:07:22,44820,6,0,159,
643593100,Delivery,22:01:25,22:01:25,22:27:17,4833,1,1,325,1484639
642621248,Restaurant,11:24:13,11:25:38,11:44:14,141,0,0,245,
643544776,Restaurant,21:07:35,21:07:54,21:27:51,26658,2,0,61,
642545080,Restaurant,9:50:58,9:51:13,9:55:38,42633,7,1,49,
642542564,Delivery,9:46:27,9:46:27,14:49:19,47694,3,0,199,1586149
642547868,Restaurant,9:56:27,9:56:45,9:57:43,8580,2,0,135,
642771320,Restaurant,13:14:38,13:15:01,13:16:37,18066,6,0,19,
643302120,Restaurant,18:45:20,18:46:45,20:28:09,126,0,0,579,
643294120,Delivery,18:41:52,18:41:52,19:52:59,4710,0,0,148,19181104
643156268,Restaurant,17:17:43,17:17:43,20:29:01,129,0,0,699,11417037
642529376,Delivery,9:15:24,9:15:24,10:06:23,36489,5,0,10,3694635
642701080,Restaurant,12:28:49,12:29:03,12:32:42,18066,6,0,19,
642875920,Restaurant,14:17:52,14:18:20,14:21:03,8580,2,0,135,
643073872,Delivery,16:24:46,16:24:46,16:48:11,21999,3,1,269,526650
643472000,Delivery,20:10:23,20:10:23,20:31:53,52482,1,1,382,5012380
642682212,Restaurant,12:15:01,12:15:32,12:35:49,36144,1,1,439,
643324120,Delivery,19:02:49,19:02:49,19:57:22,36111,1,1,323,38418363
642780088,Delivery,13:20:21,13:20:21,18:32:47,4035,0,0,699,44360369
642560604,Restaurant,10:16:18,10:16:33,10:17:39,48363,2,0,115,
642730644,Restaurant,12:49:02,12:49:13,12:50:02,47694,3,0,199,
642641256,Restaurant,11:42:50,11:43:11,11:58:51,50922,1,1,295,
642639352,Restaurant,11:41:11,11:41:30,11:59:06,12495,1,1,639,
642562664,Restaurant,10:19:26,10:19:39,10:23:18,18066,6,0,19,
643477232,Delivery,20:13:42,20:13:42,20:37:34,129,1,1,699,34435779
642566884,Restaurant,10:25:18,10:25:46,10:26:32,26658,2,0,69,
642562376,Restaurant,10:18:58,10:19:12,10:27:37,141,1,1,245,
642558660,Restaurant,10:10:45,10:13:35,10:29:43,18066,6,0,19,4866056
643217164,Restaurant,17:51:22,17:54:47,18:15:47,141,0,0,245,23511428
642569016,Restaurant,10:28:38,10:28:50,10:31:24,3027,0,0,69,
643230556,Restaurant,18:02:53,18:02:59,18:04:03,18066,6,0,19,
642559772,Delivery,10:15:12,10:15:12,10:34:03,50925,1,1,333,24724073
642660224,Restaurant,11:58:56,11:58:56,12:06:35,2010,2,0,115,16623188
643251828,Delivery,18:15:38,18:15:38,20:07:15,390,1,1,828,15269258
642568632,Restaurant,10:28:16,10:28:16,10:38:21,441,0,0,127,1111336
643310832,Delivery,18:51:38,18:51:38,20:08:24,57,0,0,749,515366
642510456,Delivery,8:14:33,8:14:33,10:41:27,84,0,0,699,25467651
643498704,Delivery,20:29:27,20:29:27,20:46:22,4038,1,1,699,20627733
643265764,Delivery,18:23:58,18:23:58,19:36:07,309,0,0,25,13596249
642569932,Delivery,10:30:08,10:30:08,10:45:17,27,0,0,406,33531
642656508,Delivery,11:55:52,11:55:52,12:12:12,4974,0,0,10,22152902
643271312,Delivery,18:27:36,18:27:36,19:37:41,441,3,1,159,28427666
642806644,Restaurant,13:35:26,13:36:38,14:04:26,36141,1,1,245,
643637448,Delivery,23:33:14,23:33:14,0:07:14,4827,0,0,99,30009630
642577336,Restaurant,10:34:55,10:39:59,10:51:11,441,3,1,144,28599321
642573396,Delivery,10:34:58,10:34:58,10:52:15,126,1,1,450,43588062
642624324,Restaurant,11:26:43,11:28:22,12:16:14,129,0,0,699,
642892108,Delivery,14:28:08,14:28:08,14:39:34,45981,3,1,125,8915523
642526520,Restaurant,9:07:18,9:07:59,9:18:39,9300,1,1,374,
642531720,Restaurant,9:21:09,9:21:09,9:22:22,29202,6,0,89,243478
643593944,Restaurant,22:02:09,22:02:34,22:13:38,441,0,0,159,
642575668,Delivery,10:37:49,10:37:49,10:58:21,4710,0,0,179,25830068
643231568,Delivery,18:03:38,18:03:38,20:18:08,141,1,1,294,20998053
642535576,Restaurant,9:30:01,9:30:30,9:31:11,20061,2,0,110,
643155176,Delivery,17:17:00,17:17:00,18:19:24,4026,1,1,375,29107216
642596488,Restaurant,11:01:33,11:02:25,11:02:43,26658,2,0,69,
642534156,Delivery,9:27:07,9:27:07,9:38:19,51948,6,0,129,6637324
643521988,Restaurant,20:47:39,20:48:01,20:59:40,12501,1,1,425,
642666772,Delivery,12:03:52,12:03:52,12:24:12,45903,6,0,89,12340244
642723884,Delivery,12:44:57,12:44:57,13:12:43,36489,5,0,10,35884192
643282304,Delivery,18:34:29,18:34:29,19:48:18,141,0,0,294,35400995
643592448,Delivery,22:00:22,22:00:22,22:27:17,52782,1,1,579,429785
643221504,Restaurant,17:55:17,17:57:34,18:24:02,54,0,0,639,6787735
643222508,Restaurant,17:57:39,17:58:15,18:24:04,26658,2,0,45,
642545196,Restaurant,9:50:32,9:51:29,9:55:40,2010,0,0,115,
642681264,Restaurant,12:13:54,12:14:47,12:28:36,129,0,0,699,
642663608,Delivery,12:01:24,12:01:24,12:29:06,36489,5,0,10,12489552
642917008,Restaurant,14:42:38,14:43:23,14:50:27,44826,6,0,159,
643174944,Delivery,17:29:30,17:29:30,17:51:19,51,0,0,425,229635
643288248,Delivery,18:38:15,18:38:15,19:52:59,252,0,0,343,23115901
643156268,Restaurant,17:17:43,17:17:43,20:29:01,129,1,1,699,11417037
642544520,Restaurant,9:50:25,9:50:25,10:05:45,12336,3,1,79,276233
642702776,Delivery,12:30:16,12:30:16,19:22:29,21,1,1,749,20479592
642707424,Restaurant,12:32:55,12:33:36,12:34:00,2133,0,0,99,
643066072,Delivery,16:19:42,16:19:42,16:48:11,45075,3,1,199,23531619
643320488,Restaurant,18:59:06,18:59:06,19:56:22,48117,1,1,769,37383467
642687548,Delivery,12:19:32,12:19:32,12:47:28,4974,0,0,10,44361269
643138476,Delivery,17:06:19,17:06:19,17:56:36,279,0,0,699,9766989
643623296,Restaurant,22:52:13,22:52:20,22:53:46,10089,2,0,99,
642683180,Delivery,12:16:09,12:16:09,12:49:00,36489,5,0,10,21822035
642731224,Restaurant,12:49:30,12:49:39,12:50:03,44421,2,0,99,
642747640,Restaurant,13:00:02,13:00:22,13:24:55,12501,1,1,425,
642732864,Restaurant,12:50:39,12:50:41,12:50:53,44421,2,0,99,
642563664,Restaurant,10:20:45,10:21:04,10:23:19,48363,2,0,115,
643476528,Delivery,20:13:20,20:13:20,21:19:12,36489,5,0,10,9704818
642748244,Restaurant,12:59:40,13:00:44,13:26:51,123,0,0,295,
642693828,Delivery,12:24:00,12:24:00,12:53:16,441,0,0,159,39391035
642588348,Delivery,10:53:47,10:53:47,11:14:28,36489,5,0,10,44357766
643249744,Delivery,18:14:27,18:14:27,19:30:44,141,1,1,245,44382139
642596224,Restaurant,11:01:00,11:02:12,11:16:31,441,0,0,118,
643219024,Delivery,17:56:01,17:56:01,18:39:16,52206,5,0,0,39777027
642565268,Restaurant,10:22:27,10:23:24,10:33:58,2013,2,0,58,
642681356,Delivery,12:14:51,12:14:51,18:40:12,50361,1,1,449,25487279
643239004,Delivery,18:08:01,18:08:01,20:07:15,4038,0,0,699,25528126
642574208,Restaurant,10:35:42,10:35:55,10:38:23,2145,0,0,99,
643310832,Delivery,18:51:38,18:51:38,20:08:24,57,1,1,749,515366
642510456,Delivery,8:14:33,8:14:33,10:41:27,84,0,0,699,25467651
642758524,Delivery,13:07:01,13:07:01,20:09:19,57,0,0,749,29653470
643265156,Delivery,18:23:39,18:23:39,19:36:07,309,0,0,25,938978
642657684,Restaurant,11:54:57,11:56:51,12:11:40,2028,2,0,115,
642732168,Restaurant,12:50:07,12:50:15,13:01:23,441,3,1,159,
643161944,Delivery,17:21:25,17:21:25,19:04:48,50919,1,1,295,44378677
642820008,Restaurant,13:44:00,13:44:50,14:04:31,123,0,0,375,
643269768,Delivery,18:26:33,18:26:33,19:38:25,43473,1,1,749,35922789
642825344,Restaurant,13:47:49,13:47:58,14:05:37,26658,2,0,47,
642576716,Restaurant,10:37:35,10:39:14,10:52:18,18066,6,0,19,
642630212,Restaurant,11:32:58,11:33:36,12:16:07,129,1,1,699,
642892108,Delivery,14:28:08,14:28:08,14:39:34,45981,3,1,125,8915523
642528200,Restaurant,9:10:47,9:12:27,9:18:45,441,3,1,159,32512227
642583328,Restaurant,10:47:24,10:47:33,10:56:31,26658,2,0,57,
643509144,Delivery,20:37:46,20:37:46,20:54:55,24504,5,0,10,44390660
643009096,Restaurant,15:41:47,15:42:09,15:43:47,10545,2,0,99,
642921012,Delivery,14:45:52,14:45:52,15:10:04,36147,1,1,333,43645357
642573016,Delivery,10:34:21,10:34:21,11:00:52,45927,1,1,498,44357029
643118724,Delivery,16:53:35,16:53:35,17:12:39,45912,6,0,89,192730
642628100,Restaurant,11:31:27,11:31:47,11:38:37,2133,0,0,99,
642534156,Delivery,9:27:07,9:27:07,9:38:19,51948,6,0,129,6637324
643510656,Delivery,20:38:52,20:38:52,20:59:50,4035,1,1,699,6382737
642667740,Restaurant,12:04:12,12:04:38,12:24:11,21,0,0,749,
642750208,Restaurant,13:01:04,13:01:47,13:12:21,35604,7,1,38,
643282304,Delivery,18:34:29,18:34:29,19:48:18,141,1,1,294,35400995
643479796,Delivery,20:15:34,20:15:34,20:23:34,26670,2,0,99,2215786
643221504,Restaurant,17:55:17,17:57:34,18:24:02,54,1,1,639,6787735
642588480,Delivery,10:53:53,10:53:53,11:10:25,258,0,0,749,312724
642590572,Restaurant,10:55:53,10:56:31,11:10:30,36114,1,1,579,
642697352,Restaurant,12:26:14,12:26:31,12:28:38,18066,6,0,19,
642668608,Delivery,12:05:13,12:05:13,12:29:06,50928,1,1,579,35507873
642927608,Restaurant,14:49:42,14:49:59,14:50:32,18066,6,0,19,
643264032,Restaurant,18:22:56,18:22:56,20:28:12,441,0,0,159,20109698
643283292,Delivery,18:35:09,18:35:09,19:52:59,36489,5,0,10,40496025
643143584,Restaurant,17:08:51,17:09:29,17:11:10,42633,7,1,38,
642711208,Delivery,12:36:23,12:36:23,13:19:11,27,0,0,579,2423775
642703320,Restaurant,12:30:34,12:30:37,12:32:47,35604,7,1,49,
642686600,Restaurant,12:17:40,12:18:48,12:33:56,47436,3,1,269,
642638584,Restaurant,11:40:29,11:40:54,11:53:37,42120,1,1,579,
643259716,Delivery,18:20:12,18:20:12,19:56:12,36489,5,0,10,4191077
642912272,Restaurant,14:39:09,14:40:31,14:55:25,21,1,1,749,
643129652,Delivery,17:00:46,17:00:46,17:25:16,23808,1,1,860,23451165
642629608,Delivery,11:33:06,11:33:06,11:56:36,13668,1,1,465,75105
642692820,Delivery,12:23:13,12:23:13,12:49:00,66,0,0,749,1268053
642742508,Delivery,12:57:06,12:57:06,13:23:59,4032,0,0,579,270165
642773652,Delivery,13:16:28,13:16:28,13:57:36,36489,5,0,10,10891938
642757768,Restaurant,13:06:02,13:06:33,13:25:07,18066,6,0,19,
642802624,Restaurant,13:33:08,13:34:12,13:58:41,123,1,1,375,
643380980,Restaurant,19:15:23,19:16:34,19:28:32,26658,2,0,69,
642788516,Restaurant,13:25:31,13:25:34,13:26:53,22263,6,0,99,
642696508,Delivery,12:25:57,12:25:57,12:53:16,36150,1,1,579,27198351
642590068,Delivery,10:55:57,10:55:57,11:14:28,4974,0,0,10,44357768
643217164,Restaurant,17:51:22,17:54:47,18:15:47,141,1,1,245,23511428
642606240,Restaurant,11:11:08,11:11:44,11:16:23,44826,6,0,159,
643214604,Delivery,17:53:12,17:53:12,18:39:16,36489,5,0,10,44380306
642566072,Delivery,10:24:36,10:24:36,10:34:03,45912,6,0,89,9522149
642703988,Restaurant,12:29:27,12:31:03,12:45:47,50898,1,1,739,37683395
643101372,Delivery,16:42:13,16:42:13,16:59:22,126,0,0,579,12142595
642574988,Restaurant,10:36:34,10:36:59,10:38:25,51948,6,0,129,
642781980,Delivery,13:21:39,13:21:39,14:00:36,36099,1,1,295,5268432
642510456,Delivery,8:14:33,8:14:33,10:41:27,84,1,1,699,25467651
643498704,Delivery,20:29:27,20:29:27,20:46:22,297,0,0,25,20627733
643265764,Delivery,18:23:58,18:23:58,19:36:07,96,1,1,375,13596249
642802976,Restaurant,13:33:21,13:34:23,13:34:30,8565,2,0,135,
642734140,Restaurant,12:50:57,12:51:33,13:01:43,2319,2,0,45,
643487192,Restaurant,20:20:56,20:20:56,20:48:39,42123,1,1,441,9911628
643021096,Delivery,15:50:02,15:50:02,16:13:49,50925,1,1,333,18171831
643259280,Delivery,18:19:55,18:19:55,19:38:25,309,4,0,25,436841
642893232,Restaurant,14:27:56,14:28:45,14:38:04,21096,3,1,159,
642665544,Restaurant,12:02:30,12:02:53,12:15:40,4842,0,0,353,
642624324,Restaurant,11:26:43,11:28:22,12:16:14,129,1,1,699,
643398676,Restaurant,19:20:26,19:20:26,20:15:20,50904,1,1,869,816471
642529796,Restaurant,9:16:18,9:16:19,9:18:56,42633,7,1,49,
642610832,Restaurant,11:14:59,11:15:49,11:33:23,129,1,1,699,
643504416,Delivery,20:33:57,20:33:57,20:54:55,4836,1,1,479,28639158
643058272,Delivery,16:14:31,16:14:31,16:34:42,43464,1,1,466,40384222
642936204,Restaurant,14:54:59,14:55:23,15:10:04,126,0,0,579,
642580732,Delivery,10:44:26,10:44:26,11:00:52,6,1,1,639,1052933
643113348,Delivery,16:50:03,16:50:03,17:12:39,4032,1,1,579,32975888
642732980,Restaurant,12:50:12,12:50:47,13:10:33,18066,6,0,19,
643041244,Restaurant,16:01:57,16:03:16,16:22:09,2031,2,0,45,
643509984,Delivery,20:38:22,20:38:22,20:59:50,294,4,0,25,30092638
642670168,Restaurant,12:05:26,12:06:27,12:24:12,4035,1,1,699,
642866224,Restaurant,14:12:25,14:12:30,14:13:53,35604,7,1,49,
642821752,Restaurant,13:45:13,13:45:50,13:46:03,42633,7,1,43,
643427496,Restaurant,19:38:53,19:39:35,20:23:51,54,1,1,639,
642621248,Restaurant,11:24:13,11:25:38,11:44:14,141,1,1,245,
642588480,Delivery,10:53:53,10:53:53,11:10:25,258,1,1,749,312724
